count,streamType,tag,time,values
46188,6,131,1551438218,0.0
46188,6,129,1551438218,1.0
46188,6,132,1551438218,0.0
46188,6,126,1551438218,0.0
46188,6,127,1551438218,0.0
46188,6,130,1551438218,0.0
46187,6,128,1551438213,65295.0
46187,6,131,1551438213,169.0
46187,6,129,1551438213,15984.0
46187,6,132,1551438213,512.0
46187,6,126,1551438213,0.0
46187,6,127,1551438213,0.0
46187,6,130,1551438213,12.0
46186,6,128,1551438208,65296.0
46186,6,131,1551438208,0.0
46186,6,129,1551438208,1.0
46186,6,132,1551438208,0.0
46186,6,126,1551438208,0.0
46186,6,127,1551438208,0.0
46186,6,130,1551438208,0.0
46185,6,128,1551438203,65295.0
46185,6,131,1551438203,174.0
46185,6,129,1551438203,16158.0
46185,6,132,1551438203,512.0
46185,6,126,1551438203,0.0
46185,6,127,1551438203,0.0
46185,6,130,1551438203,12.0
46184,6,128,1551438200,65296.0
46184,6,131,1551438200,0.0
46184,6,129,1551438200,1.0
46184,6,132,1551438200,0.0
46184,6,126,1551438200,0.0
46184,6,127,1551438200,0.0
46184,6,130,1551438200,0.0
46183,6,128,1551438187,65295.0
46183,6,131,1551438187,414.0
46183,6,129,1551438187,16572.0
46183,6,132,1551438187,512.0
46183,6,126,1551438187,0.0
46183,6,127,1551438187,0.0
46183,6,130,1551438187,12.0
46182,6,128,1551438184,65296.0
46182,6,131,1551438184,0.0
46182,6,129,1551438184,1.0
46182,6,132,1551438184,0.0
46182,6,126,1551438184,0.0
46182,6,127,1551438184,0.0
46182,6,130,1551438184,0.0
46181,6,128,1551438177,65295.0
46181,6,131,1551438177,236.0
46181,6,129,1551438177,16808.0
46181,6,132,1551438177,512.0
46181,6,126,1551438177,0.0
46181,6,127,1551438177,0.0
46181,6,130,1551438177,12.0
46180,6,128,1551438173,65296.0
46180,6,131,1551438173,0.0
46180,6,129,1551438173,1.0
46180,6,132,1551438173,0.0
46180,6,126,1551438173,0.0
46180,6,127,1551438173,0.0
46180,6,130,1551438173,0.0
46179,6,128,1551438167,65295.0
46179,6,131,1551438167,768.0
46179,6,129,1551438167,17030.0
46179,6,132,1551438167,4096.0
46179,6,126,1551438167,0.0
46179,6,127,1551438167,0.0
46179,6,130,1551438167,346.0
46178,6,128,1551438163,65296.0
46178,6,131,1551438163,0.0
46178,6,129,1551438163,1.0
46178,6,132,1551438163,0.0
46178,6,126,1551438163,0.0
46178,6,127,1551438163,0.0
46178,6,130,1551438163,0.0
46177,6,128,1551438156,65295.0
46177,6,131,1551438156,900.0
46177,6,129,1551438156,17930.0
46177,6,132,1551438156,4096.0
46177,6,126,1551438156,0.0
46177,6,127,1551438156,0.0
46177,6,130,1551438156,346.0
46176,6,128,1551438152,65296.0
46176,6,131,1551438152,0.0
46176,6,129,1551438152,1.0
46176,6,132,1551438152,0.0
46176,6,126,1551438152,0.0
46176,6,127,1551438152,0.0
46176,6,130,1551438152,0.0
46175,6,128,1551438146,65295.0
46175,6,131,1551438146,831.0
46175,6,129,1551438146,20561.0
46175,6,132,1551438146,4096.0
46175,6,126,1551438146,0.0
46175,6,127,1551438146,0.0
46175,6,130,1551438146,346.0
46174,6,128,1551438143,65296.0
46174,6,131,1551438143,0.0
46174,6,129,1551438143,1.0
46174,6,132,1551438143,0.0
46174,6,126,1551438143,0.0
46174,6,127,1551438143,0.0
46174,6,130,1551438143,0.0
46173,6,128,1551438136,65295.0
46173,6,131,1551438136,900.0
46173,6,129,1551438136,21461.0
46173,6,132,1551438136,4096.0
46173,6,126,1551438136,0.0
46173,6,127,1551438136,0.0
46173,6,130,1551438136,346.0
46172,6,128,1551438132,65296.0
46172,6,131,1551438132,0.0
46172,6,129,1551438132,1.0
46172,6,132,1551438132,0.0
46172,6,126,1551438132,0.0
46172,6,127,1551438132,0.0
46172,6,130,1551438132,0.0
46171,6,128,1551438125,65295.0
46171,6,131,1551438125,900.0
46171,6,129,1551438125,22361.0
46171,6,132,1551438125,4096.0
46171,6,126,1551438125,0.0
46171,6,127,1551438125,0.0
46171,6,130,1551438125,346.0
46170,6,128,1551438122,65296.0
46170,6,131,1551438122,0.0
46170,6,129,1551438122,1.0
46170,6,132,1551438122,0.0
46170,6,126,1551438122,0.0
46170,6,127,1551438122,0.0
46170,6,130,1551438122,0.0
46169,6,128,1551438115,65295.0
46169,6,131,1551438115,900.0
46169,6,129,1551438115,23261.0
46169,6,132,1551438115,4096.0
46169,6,126,1551438115,0.0
46169,6,127,1551438115,0.0
46169,6,130,1551438115,346.0
46168,6,128,1551438112,65296.0
46168,6,131,1551438112,0.0
46168,6,129,1551438112,1.0
46168,6,132,1551438112,0.0
46168,6,126,1551438112,0.0
46168,6,127,1551438112,0.0
46168,6,130,1551438112,0.0
46167,6,128,1551438104,65295.0
46167,6,131,1551438104,900.0
46167,6,129,1551438104,24161.0
46167,6,132,1551438104,4096.0
46167,6,126,1551438104,0.0
46167,6,127,1551438104,0.0
46167,6,130,1551438104,346.0
46166,6,128,1551438101,65296.0
46166,6,131,1551438101,0.0
46166,6,129,1551438101,1.0
46166,6,132,1551438101,0.0
46166,6,126,1551438101,0.0
46166,6,127,1551438101,0.0
46166,6,130,1551438101,0.0
46165,6,128,1551438094,65295.0
46165,6,131,1551438094,900.0
46165,6,129,1551438094,25061.0
46165,6,132,1551438094,4096.0
46165,6,126,1551438094,0.0
46165,6,127,1551438094,0.0
46165,6,130,1551438094,346.0
46164,6,128,1551438091,65296.0
46164,6,131,1551438091,0.0
46164,6,129,1551438091,1.0
46164,6,132,1551438091,0.0
46164,6,126,1551438091,0.0
46164,6,127,1551438091,0.0
46164,6,130,1551438091,0.0
46163,6,128,1551438084,65295.0
46163,6,131,1551438084,900.0
46163,6,129,1551438084,25961.0
46163,6,132,1551438084,4096.0
46163,6,126,1551438084,0.0
46163,6,127,1551438084,0.0
46163,6,130,1551438084,346.0
46162,6,128,1551438081,65296.0
46162,6,131,1551438081,0.0
46162,6,129,1551438081,1.0
46162,6,132,1551438081,0.0
46162,6,126,1551438081,0.0
46162,6,127,1551438081,0.0
46162,6,130,1551438081,0.0
46161,6,128,1551438073,65295.0
46161,6,131,1551438073,900.0
46161,6,129,1551438073,26861.0
46161,6,132,1551438073,4096.0
46161,6,126,1551438073,0.0
46161,6,127,1551438073,0.0
46161,6,130,1551438073,346.0
46160,6,128,1551438070,65296.0
46160,6,131,1551438070,0.0
46160,6,129,1551438070,1.0
46160,6,132,1551438070,0.0
46160,6,126,1551438070,0.0
46160,6,127,1551438070,0.0
46160,6,130,1551438070,0.0
46159,6,128,1551438063,65295.0
46159,6,131,1551438063,900.0
46159,6,129,1551438063,27761.0
46159,6,132,1551438063,4096.0
46159,6,126,1551438063,0.0
46159,6,127,1551438063,0.0
46159,6,130,1551438063,346.0
46158,6,128,1551438060,65296.0
46158,6,131,1551438060,0.0
46158,6,129,1551438060,1.0
46158,6,132,1551438060,0.0
46158,6,126,1551438060,0.0
46158,6,127,1551438060,0.0
46158,6,130,1551438060,0.0
46157,6,128,1551438053,65295.0
46157,6,131,1551438053,900.0
46157,6,129,1551438053,28661.0
46157,6,132,1551438053,4096.0
46157,6,126,1551438053,0.0
46157,6,127,1551438053,0.0
46157,6,130,1551438053,346.0
46156,6,128,1551438050,65296.0
46156,6,131,1551438050,0.0
46156,6,129,1551438050,1.0
46156,6,132,1551438050,0.0
46156,6,126,1551438050,0.0
46156,6,127,1551438050,0.0
46156,6,130,1551438050,0.0
46155,6,128,1551438042,65295.0
46155,6,131,1551438042,900.0
46155,6,129,1551438042,29561.0
46155,6,132,1551438042,4096.0
46155,6,126,1551438042,0.0
46155,6,127,1551438042,0.0
46155,6,130,1551438042,346.0
46154,6,128,1551438039,65296.0
46154,6,131,1551438039,0.0
46154,6,129,1551438039,1.0
46154,6,132,1551438039,0.0
46154,6,126,1551438039,0.0
46154,6,127,1551438039,0.0
46154,6,130,1551438039,0.0
46153,6,128,1551438032,65295.0
46153,6,131,1551438032,900.0
46153,6,129,1551438032,30461.0
46153,6,132,1551438032,4096.0
46153,6,126,1551438032,0.0
46153,6,127,1551438032,0.0
46153,6,130,1551438032,346.0
46152,6,128,1551438029,65296.0
46152,6,131,1551438029,0.0
46152,6,129,1551438029,1.0
46152,6,132,1551438029,0.0
46152,6,126,1551438029,0.0
46152,6,127,1551438029,0.0
46152,6,130,1551438029,0.0
46151,6,128,1551438022,65295.0
46151,6,131,1551438022,900.0
46151,6,129,1551438022,31361.0
46151,6,132,1551438022,4096.0
46151,6,126,1551438022,0.0
46151,6,127,1551438022,0.0
46151,6,130,1551438022,346.0
46150,6,128,1551438018,65296.0
46150,6,131,1551438018,0.0
46150,6,129,1551438018,1.0
46150,6,132,1551438018,0.0
46150,6,126,1551438018,0.0
46150,6,127,1551438018,0.0
46150,6,130,1551438018,0.0
46149,6,128,1551438011,65295.0
46149,6,131,1551438011,900.0
46149,6,129,1551438011,32261.0
46149,6,132,1551438011,4096.0
46149,6,126,1551438011,0.0
46149,6,127,1551438011,0.0
46149,6,130,1551438011,346.0
46148,6,128,1551438008,65296.0
46148,6,131,1551438008,0.0
46148,6,129,1551438008,1.0
46148,6,132,1551438008,0.0
46148,6,126,1551438008,0.0
46148,6,127,1551438008,0.0
46148,6,130,1551438008,0.0
46147,6,128,1551438001,65295.0
46147,6,131,1551438001,900.0
46147,6,129,1551438001,33161.0
46147,6,132,1551438001,4096.0
46147,6,126,1551438001,0.0
46147,6,127,1551438001,0.0
46147,6,130,1551438001,346.0
46146,6,128,1551438000,65296.0
46146,6,131,1551438000,0.0
46146,6,129,1551438000,1.0
46146,6,132,1551438000,0.0
46146,6,126,1551438000,0.0
46146,6,127,1551438000,0.0
46146,6,130,1551438000,0.0
46145,6,128,1551437996,65295.0
46145,6,131,1551437996,553.0
46145,6,129,1551437996,34614.0
46145,6,132,1551437996,4096.0
46145,6,126,1551437996,0.0
46145,6,127,1551437996,0.0
46145,6,130,1551437996,346.0
46144,6,128,1551437993,65296.0
46144,6,131,1551437993,0.0
46144,6,129,1551437993,1.0
46144,6,132,1551437993,0.0
46144,6,126,1551437993,0.0
46144,6,127,1551437993,0.0
46144,6,130,1551437993,0.0
46143,6,128,1551437985,65295.0
46143,6,131,1551437985,900.0
46143,6,129,1551437985,35514.0
46143,6,132,1551437985,4096.0
46143,6,126,1551437985,0.0
46143,6,127,1551437985,0.0
46143,6,130,1551437985,346.0
46142,6,128,1551437983,65296.0
46142,6,131,1551437983,0.0
46142,6,129,1551437983,1.0
46142,6,132,1551437983,0.0
46142,6,126,1551437983,0.0
46142,6,127,1551437983,0.0
46142,6,130,1551437983,0.0
46141,6,128,1551437975,65295.0
46141,6,131,1551437975,900.0
46141,6,129,1551437975,36414.0
46141,6,132,1551437975,4096.0
46141,6,126,1551437975,0.0
46141,6,127,1551437975,0.0
46141,6,130,1551437975,346.0
46140,6,128,1551437972,65296.0
46140,6,131,1551437972,0.0
46140,6,129,1551437972,1.0
46140,6,132,1551437972,0.0
46140,6,126,1551437972,0.0
46140,6,127,1551437972,0.0
46140,6,130,1551437972,0.0
46139,6,128,1551437965,65295.0
46139,6,131,1551437965,900.0
46139,6,129,1551437965,37314.0
46139,6,132,1551437965,4096.0
46139,6,126,1551437965,0.0
46139,6,127,1551437965,0.0
46139,6,130,1551437965,346.0
46138,6,128,1551437962,65296.0
46138,6,131,1551437962,0.0
46138,6,129,1551437962,1.0
46138,6,132,1551437962,0.0
46138,6,126,1551437962,0.0
46138,6,127,1551437962,0.0
46138,6,130,1551437962,0.0
46137,6,128,1551437954,65295.0
46137,6,131,1551437954,900.0
46137,6,129,1551437954,38214.0
46137,6,132,1551437954,4096.0
46137,6,126,1551437954,0.0
46137,6,127,1551437954,0.0
46137,6,130,1551437954,346.0
46136,6,128,1551437951,65296.0
46136,6,131,1551437951,0.0
46136,6,129,1551437951,1.0
46136,6,132,1551437951,0.0
46136,6,126,1551437951,0.0
46136,6,127,1551437951,0.0
46136,6,130,1551437951,0.0
46135,6,128,1551437944,65295.0
46135,6,131,1551437944,900.0
46135,6,129,1551437944,39114.0
46135,6,132,1551437944,4096.0
46135,6,126,1551437944,0.0
46135,6,127,1551437944,0.0
46135,6,130,1551437944,346.0
46134,6,128,1551437941,65296.0
46134,6,131,1551437941,0.0
46134,6,129,1551437941,1.0
46134,6,132,1551437941,0.0
46134,6,126,1551437941,0.0
46134,6,127,1551437941,0.0
46134,6,130,1551437941,0.0
46133,6,128,1551437934,65295.0
46133,6,131,1551437934,900.0
46133,6,129,1551437934,40014.0
46133,6,132,1551437934,4096.0
46133,6,126,1551437934,0.0
46133,6,127,1551437934,0.0
46133,6,130,1551437934,346.0
46132,6,128,1551437930,65296.0
46132,6,131,1551437930,0.0
46132,6,129,1551437930,1.0
46132,6,132,1551437930,0.0
46132,6,126,1551437930,0.0
46132,6,127,1551437930,0.0
46132,6,130,1551437930,0.0
46131,6,128,1551437923,65295.0
46131,6,131,1551437923,808.0
46131,6,129,1551437923,43522.0
46131,6,132,1551437923,4096.0
46131,6,126,1551437923,0.0
46131,6,127,1551437923,0.0
46131,6,130,1551437923,346.0
46130,6,128,1551437920,65296.0
46130,6,131,1551437920,0.0
46130,6,129,1551437920,1.0
46130,6,132,1551437920,0.0
46130,6,126,1551437920,0.0
46130,6,127,1551437920,0.0
46130,6,130,1551437920,0.0
46129,6,128,1551437913,65295.0
46129,6,131,1551437913,900.0
46129,6,129,1551437913,44422.0
46129,6,132,1551437913,4096.0
46129,6,126,1551437913,0.0
46129,6,127,1551437913,0.0
46129,6,130,1551437913,346.0
46128,6,128,1551437910,65296.0
46128,6,131,1551437910,0.0
46128,6,129,1551437910,1.0
46128,6,132,1551437910,0.0
46128,6,126,1551437910,0.0
46128,6,127,1551437910,0.0
46128,6,130,1551437910,0.0
46127,6,128,1551437903,65295.0
46127,6,131,1551437903,900.0
46127,6,129,1551437903,45322.0
46127,6,132,1551437903,4096.0
46127,6,126,1551437903,0.0
46127,6,127,1551437903,0.0
46127,6,130,1551437903,346.0
46126,6,128,1551437900,65296.0
46126,6,131,1551437900,0.0
46126,6,129,1551437900,1.0
46126,6,132,1551437900,0.0
46126,6,126,1551437900,0.0
46126,6,127,1551437900,0.0
46126,6,130,1551437900,0.0
46125,6,128,1551437892,65295.0
46125,6,131,1551437892,900.0
46125,6,129,1551437892,46222.0
46125,6,132,1551437892,4096.0
