count,streamType,tag,time,values
806114,2,15,1551454780,37.300003;100.0
806114,2,26,1551454780,13.333334
806114,2,10,1551454780,1.0;57.0
806114,2,119,1551454780,31.38
806113,2,71,1551454779,0.0
806113,2,13,1551454779,21.86422;100.0
806113,2,6,1551454779,66.0;88.0
806113,2,66,1551454779,1.5686275
806113,2,12,1551454779,17.0;96.0
806113,2,9,1551454779,0.78431374
806113,2,25,1551454779,45.09804
806113,2,70,1551454779,1.74;88.0
806113,2,23,1551454779,0.0
806113,2,11,1551454779,56.0;54.0
806113,2,7,1551454779,60.0;0.0
806113,2,21,1551454779,21.0
806113,2,22,1551454779,43.92157
806113,2,118,1551454779,32.809998
806113,2,24,1551454779,0.0
806113,2,20,1551454779,1007.2
806113,2,8,1551454779,0.48;88.0
806113,2,19,1551454779,32.66
806113,2,15,1551454779,37.300003;100.0
806113,2,26,1551454779,13.333334
806113,2,10,1551454779,1.0;57.0
806113,2,119,1551454779,31.06
806112,2,71,1551454778,0.0
806112,2,13,1551454778,21.86422;100.0
806112,2,6,1551454778,65.0;86.0
806112,2,66,1551454778,1.5686275
806112,2,12,1551454778,17.0;96.0
806112,2,9,1551454778,0.78431374
806112,2,25,1551454778,45.09804
806112,2,70,1551454778,1.7199999;86.0
806112,2,23,1551454778,0.0
806112,2,11,1551454778,57.0;54.0
806112,2,7,1551454778,60.0;0.0
806112,2,21,1551454778,21.0
806112,2,22,1551454778,43.92157
806112,2,118,1551454778,32.84
806112,2,24,1551454778,0.0
806112,2,20,1551454778,1008.10004
806112,2,8,1551454778,0.48;86.0
806112,2,19,1551454778,32.66
806112,2,15,1551454778,37.300003;100.0
806112,2,26,1551454778,13.333334
806112,2,10,1551454778,1.0;57.0
806112,2,119,1551454778,31.439999
806111,2,71,1551454777,0.0
806111,2,13,1551454777,21.86422;100.0
806111,2,6,1551454777,65.0;86.0
806111,2,66,1551454777,1.5686275
806111,2,12,1551454777,17.0;96.0
806111,2,9,1551454777,0.78431374
806111,2,25,1551454777,45.09804
806111,2,70,1551454777,1.6999999;86.0
806111,2,23,1551454777,0.0
806111,2,11,1551454777,56.0;54.0
806111,2,7,1551454777,60.0;0.0
806111,2,21,1551454777,21.0
806111,2,22,1551454777,43.92157
806111,2,118,1551454777,32.84
806111,2,24,1551454777,0.0
806111,2,20,1551454777,1007.60004
806111,2,8,1551454777,0.5;86.0
806111,2,19,1551454777,32.66
806111,2,15,1551454777,37.300003;100.0
806111,2,26,1551454777,13.333334
806111,2,10,1551454777,1.0;57.0
806111,2,119,1551454777,31.25
806110,2,71,1551454776,0.0
806110,2,13,1551454776,21.86422;100.0
806110,2,6,1551454776,65.0;86.0
806110,2,66,1551454776,1.5686275
806110,2,12,1551454776,17.0;96.0
806110,2,9,1551454776,0.78431374
806110,2,25,1551454776,45.09804
806110,2,70,1551454776,1.68;86.0
806110,2,23,1551454776,0.0
806110,2,11,1551454776,56.0;54.0
806110,2,7,1551454776,60.0;0.0
806110,2,21,1551454776,21.0
806110,2,22,1551454776,43.92157
806110,2,118,1551454776,32.809998
806110,2,24,1551454776,0.0
806110,2,20,1551454776,1007.60004
806110,2,8,1551454776,0.5;86.0
806110,2,19,1551454776,32.66
806110,2,15,1551454776,37.300003;100.0
806110,2,26,1551454776,13.333334
806110,2,10,1551454776,1.0;57.0
806110,2,119,1551454776,31.189999
806109,2,71,1551454775,0.0
806109,2,13,1551454775,21.86422;100.0
806109,2,6,1551454775,65.0;85.0
806109,2,66,1551454775,1.5686275
806109,2,12,1551454775,17.0;96.0
806109,2,9,1551454775,0.78431374
806109,2,25,1551454775,45.09804
806109,2,70,1551454775,1.6999999;85.0
806109,2,23,1551454775,0.0
806109,2,11,1551454775,56.0;54.0
806109,2,7,1551454775,60.0;0.0
806109,2,21,1551454775,21.0
806109,2,22,1551454775,43.92157
806109,2,118,1551454775,32.78
806109,2,24,1551454775,0.0
806109,2,20,1551454775,1007.7
806109,2,8,1551454775,0.5;85.0
806109,2,19,1551454775,32.66
806109,2,15,1551454775,37.300003;100.0
806109,2,26,1551454775,13.333334
806109,2,10,1551454775,1.0;57.0
806109,2,119,1551454775,31.25
806108,2,71,1551454774,0.0
806108,2,13,1551454774,21.86422;100.0
806108,2,6,1551454774,65.0;86.0
806108,2,66,1551454774,1.5686275
806108,2,12,1551454774,17.0;96.0
806108,2,9,1551454774,0.78431374
806108,2,25,1551454774,45.09804
806108,2,70,1551454774,1.6999999;86.0
806108,2,23,1551454774,0.0
806108,2,11,1551454774,56.0;54.0
806108,2,7,1551454774,60.0;0.0
806108,2,21,1551454774,21.0
806108,2,22,1551454774,43.92157
806108,2,118,1551454774,32.78
806108,2,24,1551454774,0.0
806108,2,20,1551454774,1008.10004
806108,2,8,1551454774,0.5;86.0
806108,2,19,1551454774,32.66
806108,2,15,1551454774,37.300003;100.0
806108,2,26,1551454774,13.333334
806108,2,10,1551454774,1.0;57.0
806108,2,119,1551454774,31.38
806107,2,71,1551454773,0.0
806107,2,13,1551454773,21.86422;100.0
806107,2,6,1551454773,65.0;86.0
806107,2,66,1551454773,1.5686275
806107,2,12,1551454773,17.0;96.0
806107,2,9,1551454773,0.78431374
806107,2,25,1551454773,45.09804
806107,2,70,1551454773,1.68;86.0
806107,2,23,1551454773,0.0
806107,2,11,1551454773,56.0;54.0
806107,2,7,1551454773,60.0;0.0
806107,2,21,1551454773,21.0
806107,2,22,1551454773,43.92157
806107,2,118,1551454773,32.78
806107,2,24,1551454773,0.0
