count,streamType,tag,time,values
786775,4,14,1551454584,919.0;12.0
786777,4,14,1551454585,912.0;11.0
786778,4,14,1551454586,948.0;10.0
786779,4,14,1551454587,848.0;15.0
786780,4,14,1551454588,866.0;12.0
786781,4,14,1551454589,926.0;11.0
786782,4,14,1551454590,898.0;12.0
786783,4,14,1551454591,829.0;11.0
786785,4,14,1551454592,881.0;15.0
786784,4,14,1551454592,905.0;12.0
786786,4,14,1551454593,852.0;15.0
786787,4,14,1551454594,757.0;13.0
786788,4,14,1551454595,810.0;12.0
786789,4,14,1551454596,830.0;11.0
786791,4,14,1551454597,823.0;13.0
786790,4,14,1551454597,820.0;13.0
786792,4,14,1551454598,913.0;11.0
786793,4,14,1551454599,927.0;11.0
786794,4,14,1551454600,843.0;12.0
786795,4,14,1551454601,877.0;10.0
786738,4,14,1551454550,1046.0;13.0
786739,4,14,1551454551,1010.0;9.0
786740,4,14,1551454552,973.0;10.0
786741,4,14,1551454553,1009.0;10.0
786742,4,14,1551454554,1003.0;10.0
786743,4,14,1551454555,926.0;12.0
786744,4,14,1551454556,999.0;11.0
786745,4,14,1551454557,1002.0;13.0
786746,4,14,1551454558,889.0;12.0
786747,4,14,1551454559,898.0;12.0
786748,4,14,1551454560,880.0;9.0
786749,4,14,1551454561,815.0;11.0
786750,4,14,1551454562,864.0;11.0
786752,4,14,1551454563,765.0;11.0
786751,4,14,1551454563,882.0;11.0
786753,4,14,1551454564,769.0;11.0
786754,4,14,1551454565,764.0;12.0
786755,4,14,1551454566,776.0;13.0
786756,4,14,1551454567,859.0;11.0
786758,4,14,1551454568,927.0;13.0
786757,4,14,1551454568,990.0;11.0
786759,4,14,1551454569,952.0;11.0
786760,4,14,1551454570,949.0;11.0
786761,4,14,1551454571,862.0;11.0
786762,4,14,1551454572,804.0;12.0
786763,4,14,1551454573,852.0;12.0
786764,4,14,1551454574,859.0;13.0
786766,4,14,1551454575,836.0;15.0
786765,4,14,1551454575,805.0;15.0
786706,4,14,1551454522,866.0;15.0
786708,4,14,1551454522,798.0;10.0
786707,4,14,1551454522,828.0;10.0
786709,4,14,1551454523,770.0;11.0
786710,4,14,1551454524,817.0;11.0
786711,4,14,1551454525,833.0;11.0
786712,4,14,1551454526,895.0;11.0
786713,4,14,1551454527,863.0;11.0
786715,4,14,1551454528,925.0;9.0
786714,4,14,1551454528,896.0;12.0
786716,4,14,1551454529,942.0;10.0
786717,4,14,1551454530,863.0;13.0
786718,4,14,1551454531,873.0;9.0
786719,4,14,1551454532,907.0;10.0
786720,4,14,1551454533,849.0;11.0
786721,4,14,1551454534,868.0;10.0
786722,4,14,1551454535,895.0;11.0
786724,4,14,1551454536,875.0;9.0
786723,4,14,1551454536,963.0;9.0
786725,4,14,1551454537,973.0;9.0
786727,4,14,1551454539,951.0;9.0
786726,4,14,1551454539,1032.0;10.0
786728,4,14,1551454540,1056.0;12.0
786730,4,14,1551454542,933.0;11.0
786729,4,14,1551454542,1020.0;13.0
786731,4,14,1551454544,1040.0;10.0
786733,4,14,1551454545,919.0;15.0
786732,4,14,1551454545,1027.0;9.0
786734,4,14,1551454546,1018.0;12.0
786736,4,14,1551454548,940.0;11.0
786735,4,14,1551454548,1061.0;11.0
786737,4,14,1551454549,971.0;12.0
786675,4,14,1551454496,765.0;12.0
786676,4,14,1551454496,723.0;12.0
786678,4,14,1551454497,770.0;11.0
786677,4,14,1551454497,754.0;12.0
786679,4,14,1551454498,743.0;12.0
786680,4,14,1551454499,748.0;12.0
786681,4,14,1551454500,794.0;11.0
786683,4,14,1551454502,766.0;12.0
786682,4,14,1551454502,822.0;11.0
786684,4,14,1551454503,802.0;10.0
786685,4,14,1551454504,838.0;11.0
